Inscription_ID	Text	IPA	SCA	Source	Date_Approx	Genre	IPA_Source
ud_old_english_cairo_1	Þæt mæden ƿrat hyre freonde ærend-ƿrit.	θæt mæden wrɑt hyre freonde ærend-writ	TAT MADEN WRAT HURE PREONDE ARENDWRIT	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_2	Ic þence þæt hit reȝnaþ.	ik θenke θæt hit reȝnɑθ	IK TENKE TAT HIT RENAT	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_3	He ȝesohte to ȝesƿicanne smican and drincan.	he ȝesohte to ȝeswikɑnne smikɑn ɑnd drinkɑn	HE ESOHTE TO ESWIKANNE SMIKAN AND DRINKAN	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_4	Ƿilt þu gan?	wilt θu ɡɑn	WILT TU GAN	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_5	Sam, ontyne þæt eagþyrel!	sɑm ontyne θæt eɑɡθyrel	SAM ONTUNE TAT EAGTUREL	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_6	Heo dyde þæt hyre efen-ȝemacca þæt cræt ȝeƿeasce.	heo dyde θæt hyre efen-ȝemɑkkɑ θæt kræt ȝeweɑʃe	HEO DUDE TAT HURE EPENEMAKKA TAT KRAT EWEASE	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_7	Peteres neah-ȝebur hæfð þone eodor readne onȝemet.	peteres neɑh-ȝebur hæfð θone eodor reɑdne onȝemet	PETERES NEAHEBUR HAPD TONE EODOR READNE ONEMET	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_8	Min fæder is mara þonne þin.	min fæder is mɑrɑ θonne θin	MIN PADER IS MARA TONNE TIN	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_9	Maria ȝeƿann ær, Petrus seolfor and Iohanna gold.	mɑriɑ ȝewɑnn ær petrus seolfor ɑnd iohɑnnɑ ɡold	MARIA EWANN AR PETRUS SEOLPOR AND IOHANNA GOLD	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_10	Is Iguazu micel rice oþþe lytel?	is iɡuɑzu mikel rike oθθe lytel	IS IGUASU MIKEL RIKE OTTE LUTEL	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_11	Ne Petrus Smiþ ne Maria Brun mihton beon ȝecorene.	ne petrus smiθ ne mɑriɑ brun mihton beon ȝekorene	NE PETRUS SMIT NE MARIA BRUN MIHTON BEON EKORENE	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_12	Hie nabbaþ nanne ȝeþoht hƿa hit ƿrat.	hie nɑbbɑθ nɑnne ȝeθoht hwɑ hit wrɑt	HIE NABBAT NANNE ETOHT HWA HIT WRAT	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_13	Hƿæt locast þu on?	hwæt lokɑst θu on	HWAT LOKAST TU ON	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_14	Hƿonne þenctst þu þæt þu meaht cuman?	hwonne θenktst θu θæt θu meɑht kumɑn	HWONNE TENKTST TU TAT TU MEAHT KUMAN	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_15	He bohte cræt ac his broþor hƿeol-bearƿe.	he bohte kræt ɑk his broθor hweol-beɑrwe	HE BOHTE KRAT AK HIS BROTOR HWEOLBEARWE	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_16	Petrus and Maria beclypton heom be-tƿeonen and þa forletone þa heoþe.	petrus ɑnd mɑriɑ beklypton heom be-tweonen ɑnd θɑ forletone θɑ heoθe	PETRUS AND MARIA BEKLUPTON HEOM BETWEONEN AND TA PORLETONE TA HEOTE	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_17	Hit ȝebyrede þt heo dyde hire her, ac for sume ƿisan nolde seo don sƿa.	hit ȝebyrede θt heo dyde hire her ɑk for sume wisɑn nolde seo don swɑ	HIT EBUREDE TT HEO DUDE HIRE HER AK POR SUME WISAN NOLDE SEO DON SWA	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_18	Ic ne mihte þurhƿunian, forðon he to sƿiftlice rann.	ik ne mihte θurhwuniɑn forðon he to swiftlike rɑnn	IK NE MIHTE TURHWUNIAN PORDON HE TO SWIPTLIKE RANN	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_19	Þis ærend-ƿrit is fram Petere and hit ƿæs ȝebroht ȝierstan-dæg.	θis ærend-writ is frɑm petere ɑnd hit wæs ȝebroht ȝierstɑn-dæɡ	TIS ARENDWRIT IS PRAM PETERE AND HIT WAS EBROHT IERSTANDAG	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
ud_old_english_cairo_20	Heo ƿeox on Paris, þære heafod-burh Franc-landes.	heo weoks on pɑris θære heɑfod-burh frɑnk-lɑndes	HEO WEOKS ON PARIS TARE HEAPODBURH PRANKLANDES	ud_old_english_cairo	c. 700-1100 CE	mixed	translit_map
